,Model,Activity,Age,Weight_kg,Height_m,Muscle_Name,Value
68,110_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,"15° trunk axial twist, 5 kg in each hand",44.5,75.58575771,1.693630856,LTpT_R11_r,1.36249409
69,110_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,"15° trunk axial twist, 5 kg in each hand",44.5,75.58575771,1.693630856,LTpT_R12_r,0.80686127
70,110_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,"15° trunk axial twist, 5 kg in each hand",44.5,75.58575771,1.693630856,LTpT_T1_l,19.98159335
71,110_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,"15° trunk axial twist, 5 kg in each hand",44.5,75.58575771,1.693630856,LTpT_T2_l,3.26103343
72,110_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,"15° trunk axial twist, 5 kg in each hand",44.5,75.58575771,1.693630856,LTpT_T3_l,32.23916620
73,110_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,"15° trunk axial twist, 5 kg in each hand",44.5,75.58575771,1.693630856,LTpT_T4_l,1.07551079
74,110_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,"15° trunk axial twist, 5 kg in each hand",44.5,75.58575771,1.693630856,LTpT_T5_l,1.01231422
75,110_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,"15° trunk axial twist, 5 kg in each hand",44.5,75.58575771,1.693630856,LTpT_T6_l,1.31115376
76,110_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,"15° trunk axial twist, 5 kg in each hand",44.5,75.58575771,1.693630856,LTpT_T7_l,0.96093493
77,110_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,"15° trunk axial twist, 5 kg in each hand",44.5,75.58575771,1.693630856,LTpT_T8_l,1.46435552
78,110_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,"15° trunk axial twist, 5 kg in each hand",44.5,75.58575771,1.693630856,LTpT_T9_l,1.44619186
79,110_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,"15° trunk axial twist, 5 kg in each hand",44.5,75.58575771,1.693630856,LTpT_T10_l,1.11724050
80,110_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,"15° trunk axial twist, 5 kg in each hand",44.5,75.58575771,1.693630856,LTpT_T11_l,1.06231952
81,110_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,"15° trunk axial twist, 5 kg in each hand",44.5,75.58575771,1.693630856,LTpT_T12_l,0.87734498
82,110_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,"15° trunk axial twist, 5 kg in each hand",44.5,75.58575771,1.693630856,LTpT_R4_l,1.05741276
83,110_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,"15° trunk axial twist, 5 kg in each hand",44.5,75.58575771,1.693630856,LTpT_R5_l,0.92157662
84,110_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,"15° trunk axial twist, 5 kg in each hand",44.5,75.58575771,1.693630856,LTpT_R6_l,1.32391334
85,110_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,"15° trunk axial twist, 5 kg in each hand",44.5,75.58575771,1.693630856,LTpT_R7_l,0.98019161
86,110_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,"15° trunk axial twist, 5 kg in each hand",44.5,75.58575771,1.693630856,LTpT_R8_l,1.60841390
87,110_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,"15° trunk axial twist, 5 kg in each hand",44.5,75.58575771,1.693630856,LTpT_R9_l,1.16865138
88,110_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,"15° trunk axial twist, 5 kg in each hand",44.5,75.58575771,1.693630856,LTpT_R10_l,1.13043852
89,110_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,"15° trunk axial twist, 5 kg in each hand",44.5,75.58575771,1.693630856,LTpT_R11_l,1.37471079
90,110_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,"15° trunk axial twist, 5 kg in each hand",44.5,75.58575771,1.693630856,LTpT_R12_l,0.81221012
91,110_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,"15° trunk axial twist, 5 kg in each hand",44.5,75.58575771,1.693630856,LTpL_L5_r,79.72734997
92,110_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,"15° trunk axial twist, 5 kg in each hand",44.5,75.58575771,1.693630856,LTpL_L4_r,23.54380361
