sex,age_group,model_file,lumbar5_x,lumbar5_y,lumbar5_z,lumbar4_x,lumbar4_y,lumbar4_z,lumbar3_x,lumbar3_y,lumbar3_z,lumbar2_x,lumbar2_y,lumbar2_z,lumbar1_x,lumbar1_y,lumbar1_z,thoracic12_x,thoracic12_y,thoracic12_z,thoracic11_x,thoracic11_y,thoracic11_z,thoracic10_x,thoracic10_y,thoracic10_z,thoracic9_x,thoracic9_y,thoracic9_z,thoracic8_x,thoracic8_y,thoracic8_z,thoracic7_x,thoracic7_y,thoracic7_z,thoracic6_x,thoracic6_y,thoracic6_z,thoracic5_x,thoracic5_y,thoracic5_z,thoracic4_x,thoracic4_y,thoracic4_z,thoracic3_x,thoracic3_y,thoracic3_z,thoracic2_x,thoracic2_y,thoracic2_z,thoracic1_x,thoracic1_y,thoracic1_z
Male,Age7079,492_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,-0.018847,0.105753,0.0,-0.003995,0.144443,0.0,-0.001978,0.182924,0.0,-0.008196,0.222181,0.0,-0.013052,0.260291,0.0,-0.016958,0.298289,0.0,-0.023226,0.332232,0.0,-0.029326,0.362338,0.0,-0.032712,0.391277,0.0,-0.037415,0.418935,0.0,-0.042594,0.443672,0.0,-0.044511,0.468821,0.0,-0.044076,0.494101,0.0,-0.041171,0.518897,0.0,-0.035023,0.543775,0.0,-0.027883,0.565907,0.0,-0.020317,0.585737,0.0
Male,Age7079,534_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,-0.016268,0.091284,0.0,-0.003448,0.124681,0.0,-0.001708,0.157898,0.0,-0.006485,0.188062,0.0,-0.015145,0.216709,0.0,-0.025643,0.243615,0.0,-0.035496,0.269937,0.0,-0.043234,0.294412,0.0,-0.050003,0.316943,0.0,-0.058672,0.336791,0.0,-0.063617,0.357066,0.0,-0.068188,0.37822,0.0,-0.066025,0.39992,0.0,-0.061686,0.420126,0.0,-0.054578,0.441074,0.0,-0.046818,0.459587,0.0,-0.038861,0.476089,0.0
Male,Age7079,540_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,-0.016895,0.094801,0.0,-0.003581,0.129486,0.0,-0.001773,0.163982,0.0,-0.007236,0.198471,0.0,-0.013061,0.231794,0.0,-0.021803,0.2643,0.0,-0.033891,0.291822,0.0,-0.045225,0.318742,0.0,-0.050939,0.345967,0.0,-0.051542,0.369649,0.0,-0.054305,0.392746,0.0,-0.055422,0.415508,0.0,-0.052628,0.439325,0.0,-0.047453,0.461957,0.0,-0.039335,0.483447,0.0,-0.030626,0.502388,0.0,-0.021784,0.519235,0.0
Male,Age7079,693_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,-0.018847,0.105753,0.0,-0.003995,0.144443,0.0,-0.001978,0.182924,0.0,-0.007616,0.218522,0.0,-0.015819,0.253703,0.0,-0.024598,0.286764,0.0,-0.037305,0.316562,0.0,-0.04835,0.345065,0.0,-0.057955,0.371176,0.0,-0.066552,0.395479,0.0,-0.070359,0.419389,0.0,-0.073843,0.442276,0.0,-0.073327,0.465297,0.0,-0.069092,0.487956,0.0,-0.062023,0.512588,0.0,-0.054064,0.534439,0.0,-0.045766,0.553975,0.0
Male,Age7079,694_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,-0.021188,0.118887,0.0,-0.004491,0.162383,0.0,-0.002224,0.205644,0.0,-0.008264,0.243777,0.0,-0.013158,0.278977,0.0,-0.027658,0.308716,0.0,-0.026153,0.345259,0.0,-0.027675,0.378996,0.0,-0.030058,0.409473,0.0,-0.035694,0.436768,0.0,-0.041406,0.461906,0.0,-0.048655,0.48587,0.0,-0.052264,0.509904,0.0,-0.05031,0.534555,0.0,-0.04631,0.563085,0.0,-0.040883,0.588659,0.0,-0.034715,0.611709,0.0
Male,Age7079,702_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,-0.017149,0.096227,0.0,-0.003635,0.131433,0.0,-0.0018,0.166448,0.0,-0.006666,0.197171,0.0,-0.010724,0.228359,0.0,-0.016844,0.259671,0.0,-0.021592,0.289481,0.0,-0.02578,0.317904,0.0,-0.031219,0.344092,0.0,-0.038237,0.366885,0.0,-0.043197,0.389678,0.0,-0.046809,0.412355,0.0,-0.047142,0.433799,0.0,-0.046325,0.455581,0.0,-0.038855,0.47767,0.0,-0.030695,0.497194,0.0,-0.022325,0.514599,0.0
Male,Age7079,784_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,-0.017149,0.096227,0.0,-0.003635,0.131433,0.0,-0.0018,0.166448,0.0,-0.007521,0.202571,0.0,-0.010241,0.237638,0.0,-0.016534,0.270686,0.0,-0.023002,0.30273,0.0,-0.027757,0.331603,0.0,-0.031784,0.358125,0.0,-0.033671,0.382324,0.0,-0.036,0.404689,0.0,-0.036811,0.426247,0.0,-0.036748,0.447754,0.0,-0.034713,0.468878,0.0,-0.030576,0.491826,0.0,-0.025378,0.512339,0.0,-0.019661,0.530786,0.0
Male,Age7079,813_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,-0.018448,0.103515,0.0,-0.003911,0.141386,0.0,-0.001937,0.179053,0.0,-0.007809,0.216132,0.0,-0.005814,0.253771,0.0,-0.005254,0.2883,0.0,-0.010183,0.320591,0.0,-0.015049,0.350342,0.0,-0.018898,0.377525,0.0,-0.024134,0.402669,0.0,-0.03025,0.42562,0.0,-0.035874,0.447677,0.0,-0.039994,0.469888,0.0,-0.043042,0.491841,0.0,-0.041946,0.516902,0.0,-0.039367,0.539518,0.0,-0.035937,0.560009,0.0
Male,Age7079,888_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,-0.017534,0.098385,0.0,-0.003717,0.134381,0.0,-0.00184,0.170181,0.0,-0.007926,0.208607,0.0,-0.016441,0.244728,0.0,-0.028659,0.278903,0.0,-0.038051,0.30991,0.0,-0.047316,0.337275,0.0,-0.052804,0.364396,0.0,-0.056612,0.389638,0.0,-0.059329,0.414845,0.0,-0.060772,0.438548,0.0,-0.06056,0.461365,0.0,-0.059254,0.482812,0.0,-0.05254,0.505688,0.0,-0.045013,0.525972,0.0,-0.037184,0.5441,0.0
Male,Age7079,913_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,-0.016643,0.093387,0.0,-0.003528,0.127553,0.0,-0.001747,0.161534,0.0,-0.007143,0.195607,0.0,-0.011743,0.228823,0.0,-0.02001,0.259014,0.0,-0.032646,0.285959,0.0,-0.041867,0.314043,0.0,-0.046714,0.34005,0.0,-0.048673,0.364199,0.0,-0.050848,0.388074,0.0,-0.054046,0.410537,0.0,-0.054226,0.433123,0.0,-0.053459,0.4546,0.0,-0.048873,0.476761,0.0,-0.043318,0.496531,0.0,-0.037311,0.514285,0.0
Male,Age7079,940_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,-0.019115,0.107258,0.0,-0.004052,0.146499,0.0,-0.002006,0.185528,0.0,-0.007273,0.218782,0.0,-0.007258,0.254644,0.0,-0.014383,0.291087,0.0,-0.022414,0.324339,0.0,-0.03176,0.354939,0.0,-0.039377,0.382959,0.0,-0.044669,0.409573,0.0,-0.048475,0.435619,0.0,-0.04962,0.461753,0.0,-0.046513,0.486614,0.0,-0.038855,0.509783,0.0,-0.026476,0.532638,0.0,-0.013824,0.552544,0.0,-0.001342,0.570082,0.0
Male,Age7079,948_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,-0.018847,0.105753,0.0,-0.003995,0.144443,0.0,-0.001978,0.182924,0.0,-0.007462,0.217553,0.0,-0.013864,0.252315,0.0,-0.025786,0.282313,0.0,-0.037477,0.31091,0.0,-0.046931,0.337911,0.0,-0.053402,0.363911,0.0,-0.053043,0.389884,0.0,-0.053022,0.414268,0.0,-0.052708,0.436747,0.0,-0.050731,0.458164,0.0,-0.047229,0.480671,0.0,-0.041136,0.505563,0.0,-0.034044,0.52771,0.0,-0.026523,0.547558,0.0
Male,Age7079,997_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,-0.018316,0.102774,0.0,-0.003882,0.140375,0.0,-0.001923,0.177772,0.0,-0.00762,0.213742,0.0,-0.010207,0.249854,0.0,-0.015522,0.284953,0.0,-0.022742,0.316803,0.0,-0.029818,0.344108,0.0,-0.035185,0.369781,0.0,-0.038318,0.393731,0.0,-0.040129,0.416713,0.0,-0.038169,0.439715,0.0,-0.037714,0.462935,0.0,-0.030829,0.483509,0.0,-0.023861,0.507419,0.0,-0.01604,0.528622,0.0,-0.007899,0.547575,0.0
Male,Age80plus,122_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,-0.016895,0.094801,0.0,-0.003581,0.129486,0.0,-0.001773,0.163982,0.0,-0.006414,0.193279,0.0,-0.016957,0.220936,0.0,-0.027329,0.248658,0.0,-0.03724,0.276508,0.0,-0.045137,0.302256,0.0,-0.048836,0.327481,0.0,-0.050782,0.350623,0.0,-0.054214,0.374489,0.0,-0.056663,0.399131,0.0,-0.057764,0.423203,0.0,-0.056309,0.447815,0.0,-0.052565,0.47048,0.0,-0.04774,0.490761,0.0,-0.042374,0.509016,0.0
Male,Age80plus,254_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,-0.017534,0.098385,0.0,-0.003717,0.134381,0.0,-0.00184,0.170181,0.0,-0.007494,0.205878,0.0,-0.012601,0.24101,0.0,-0.019882,0.27332,0.0,-0.03111,0.301956,0.0,-0.038985,0.328291,0.0,-0.041849,0.354468,0.0,-0.043648,0.379253,0.0,-0.044607,0.402783,0.0,-0.046571,0.425976,0.0,-0.04494,0.44941,0.0,-0.042209,0.472018,0.0,-0.035131,0.494785,0.0,-0.027283,0.514946,0.0,-0.019166,0.532947,0.0
Male,Age80plus,325_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,-0.018847,0.105753,0.0,-0.003995,0.144443,0.0,-0.001978,0.182924,0.0,-0.007397,0.21714,0.0,-0.010761,0.25032,0.0,-0.017535,0.283151,0.0,-0.024046,0.31223,0.0,-0.0254,0.342434,0.0,-0.031571,0.371992,0.0,-0.037796,0.39567,0.0,-0.042746,0.41714,0.0,-0.048976,0.439824,0.0,-0.051926,0.462301,0.0,-0.052498,0.483131,0.0,-0.050024,0.508638,0.0,-0.04617,0.531571,0.0,-0.041562,0.55229,0.0
Male,Age80plus,335_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,-0.020346,0.114164,0.0,-0.004313,0.155932,0.0,-0.002136,0.197473,0.0,-0.008027,0.234671,0.0,-0.013452,0.272219,0.0,-0.026505,0.3059,0.0,-0.037512,0.337144,0.0,-0.049375,0.366409,0.0,-0.059845,0.393225,0.0,-0.068318,0.419015,0.0,-0.074126,0.443028,0.0,-0.0772,0.467321,0.0,-0.077403,0.491904,0.0,-0.069677,0.520571,0.0,-0.059726,0.546385,0.0,-0.049083,0.569122,0.0,-0.038297,0.589337,0.0
Male,Age80plus,383_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,-0.015775,0.088518,0.0,-0.003344,0.120904,0.0,-0.001656,0.153113,0.0,-0.006826,0.185754,0.0,-0.016418,0.210549,0.0,-0.026881,0.236617,0.0,-0.035279,0.264394,0.0,-0.044099,0.289288,0.0,-0.047469,0.313729,0.0,-0.052502,0.335369,0.0,-0.056143,0.357255,0.0,-0.059106,0.378669,0.0,-0.058713,0.400547,0.0,-0.057124,0.421979,0.0,-0.053697,0.443154,0.0,-0.049255,0.462106,0.0,-0.044301,0.479167,0.0
Male,Age80plus,401_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,-0.018054,0.1013,0.0,-0.003827,0.138362,0.0,-0.001895,0.175223,0.0,-0.006532,0.2045,0.0,-0.014219,0.231085,0.0,-0.021582,0.257729,0.0,-0.028102,0.284542,0.0,-0.031814,0.308084,0.0,-0.029384,0.33134,0.0,-0.029108,0.354736,0.0,-0.030568,0.377568,0.0,-0.0302,0.400044,0.0,-0.028087,0.421463,0.0,-0.02399,0.442651,0.0,-0.015102,0.465533,0.0,-0.005609,0.485685,0.0,0.004007,0.503599,0.0
