sex,age_group,model_file,thoracic1_x_norm,thoracic1_y_norm,thoracic1_z_norm,thoracic2_x_norm,thoracic2_y_norm,thoracic2_z_norm,thoracic3_x_norm,thoracic3_y_norm,thoracic3_z_norm,thoracic4_x_norm,thoracic4_y_norm,thoracic4_z_norm,thoracic5_x_norm,thoracic5_y_norm,thoracic5_z_norm,thoracic6_x_norm,thoracic6_y_norm,thoracic6_z_norm,thoracic7_x_norm,thoracic7_y_norm,thoracic7_z_norm,thoracic8_x_norm,thoracic8_y_norm,thoracic8_z_norm,thoracic9_x_norm,thoracic9_y_norm,thoracic9_z_norm,thoracic10_x_norm,thoracic10_y_norm,thoracic10_z_norm,thoracic11_x_norm,thoracic11_y_norm,thoracic11_z_norm,thoracic12_x_norm,thoracic12_y_norm,thoracic12_z_norm,lumbar1_x_norm,lumbar1_y_norm,lumbar1_z_norm,lumbar2_x_norm,lumbar2_y_norm,lumbar2_z_norm,lumbar3_x_norm,lumbar3_y_norm,lumbar3_z_norm,lumbar4_x_norm,lumbar4_y_norm,lumbar4_z_norm,lumbar5_x_norm,lumbar5_y_norm,lumbar5_z_norm
Female,Age80plus,942_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,-0.0,1.0,0.0,-0.019461,0.958004,0.0,-0.038349,0.910938,0.0,-0.055494,0.857746,0.0,-0.071484,0.80879,0.0,-0.077651,0.756379,0.0,-0.075165,0.702964,0.0,-0.0659,0.650155,0.0,-0.05778,0.592622,0.0,-0.044851,0.534058,0.0,-0.023293,0.470824,0.0,0.000175,0.404003,0.0,0.019559,0.329301,0.0,0.025003,0.246926,0.0,0.037249,0.168193,0.0,0.032622,0.084286,0.0,0.0,0.0,0.0
Male,Age4049,110_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.0,1.0,0.0,-0.009443,0.961138,0.0,-0.01755,0.918073,0.0,-0.023149,0.87011,0.0,-0.029481,0.818662,0.0,-0.027003,0.764807,0.0,-0.025067,0.711159,0.0,-0.019434,0.6554,0.0,-0.008677,0.595491,0.0,0.004592,0.531284,0.0,0.015809,0.460743,0.0,0.02405,0.384579,0.0,0.034631,0.307968,0.0,0.031774,0.227403,0.0,0.040144,0.143334,0.0,0.032155,0.071167,0.0,0.0,0.0,0.0
Male,Age4049,166_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.0,1.0,0.0,-0.020657,0.95742,0.0,-0.040817,0.909648,0.0,-0.059306,0.855583,0.0,-0.0678,0.80604,0.0,-0.073328,0.752838,0.0,-0.072141,0.699478,0.0,-0.057382,0.654064,0.0,-0.046804,0.602816,0.0,-0.035727,0.542273,0.0,-0.023518,0.478323,0.0,-0.011879,0.408561,0.0,0.003534,0.331807,0.0,0.017005,0.255021,0.0,0.032485,0.173113,0.0,0.030539,0.087215,0.0,0.0,0.0,0.0
Male,Age4049,176_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,-0.0,1.0,0.0,-0.017518,0.956495,0.0,-0.03419,0.907888,0.0,-0.048781,0.853172,0.0,-0.058763,0.805577,0.0,-0.063789,0.757159,0.0,-0.065336,0.70745,0.0,-0.062544,0.654823,0.0,-0.056537,0.599408,0.0,-0.049318,0.538584,0.0,-0.037771,0.475059,0.0,-0.026952,0.406655,0.0,-0.01109,0.332324,0.0,0.006036,0.254137,0.0,0.02498,0.172756,0.0,0.026618,0.087624,0.0,0.0,0.0,0.0
Male,Age4049,258_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,-0.0,1.0,0.0,-0.01357,0.956303,0.0,-0.025911,0.907711,0.0,-0.035743,0.853348,0.0,-0.034386,0.803473,0.0,-0.032525,0.752073,0.0,-0.027095,0.698895,0.0,-0.025702,0.643945,0.0,-0.023972,0.587336,0.0,-0.017331,0.526798,0.0,-0.006993,0.463345,0.0,0.006462,0.394457,0.0,0.020466,0.321747,0.0,0.026507,0.245366,0.0,0.038192,0.165959,0.0,0.032933,0.083054,0.0,0.0,0.0,0.0
Male,Age4049,275_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.0,1.0,0.0,-0.009375,0.957038,0.0,-0.017167,0.909495,0.0,-0.022079,0.85663,0.0,-0.022698,0.809485,0.0,-0.02201,0.759445,0.0,-0.017859,0.708375,0.0,-0.013705,0.654739,0.0,-0.010155,0.598007,0.0,-0.005139,0.536973,0.0,0.00383,0.471424,0.0,0.013695,0.400096,0.0,0.02674,0.3268,0.0,0.030324,0.242633,0.0,0.040598,0.158541,0.0,0.033595,0.079017,0.0,0.0,0.0,0.0
Male,Age4049,329_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.0,1.0,0.0,-0.009943,0.957896,0.0,-0.018407,0.91126,0.0,-0.024125,0.859339,0.0,-0.026924,0.805904,0.0,-0.028561,0.752829,0.0,-0.030406,0.697422,0.0,-0.032152,0.641517,0.0,-0.034008,0.581655,0.0,-0.033982,0.520554,0.0,-0.023012,0.461998,0.0,-0.011741,0.394233,0.0,0.008075,0.321019,0.0,0.020175,0.241195,0.0,0.033775,0.157423,0.0,0.029967,0.078975,0.0,0.0,0.0,0.0
Male,Age4049,368_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.0,1.0,0.0,-0.011735,0.958338,0.0,-0.022187,0.912079,0.0,-0.030118,0.860426,0.0,-0.034311,0.813052,0.0,-0.030248,0.765663,0.0,-0.024045,0.712916,0.0,-0.019351,0.657227,0.0,-0.016425,0.599553,0.0,-0.01247,0.53729,0.0,-0.009109,0.471484,0.0,-0.000924,0.401341,0.0,0.012641,0.327244,0.0,0.016673,0.244212,0.0,0.031802,0.157922,0.0,0.028983,0.079391,0.0,0.0,0.0,0.0
Male,Age4049,371_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.0,1.0,0.0,-0.017446,0.95774,0.0,-0.034111,0.910499,0.0,-0.048799,0.857287,0.0,-0.056387,0.806648,0.0,-0.058984,0.754805,0.0,-0.058307,0.701943,0.0,-0.053055,0.647183,0.0,-0.047085,0.590567,0.0,-0.03416,0.529514,0.0,-0.020029,0.465692,0.0,0.00286,0.39845,0.0,0.020229,0.325948,0.0,0.032236,0.247718,0.0,0.042313,0.164814,0.0,0.034979,0.082132,0.0,0.0,0.0,0.0
Male,Age4049,376_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.0,1.0,0.0,-0.015922,0.958796,0.0,-0.030981,0.912799,0.0,-0.043999,0.861076,0.0,-0.051283,0.812442,0.0,-0.053539,0.761599,0.0,-0.052312,0.708359,0.0,-0.04886,0.653533,0.0,-0.048857,0.594374,0.0,-0.044421,0.533783,0.0,-0.032137,0.468558,0.0,-0.01693,0.398679,0.0,0.004208,0.324438,0.0,0.022416,0.243896,0.0,0.035439,0.16054,0.0,0.031078,0.080459,0.0,0.0,0.0,0.0
