Directory,Filename,spine_height,trunk_mass,sex,Min Age (year),Max Age (year),height (m),weight (kg)
.\Female\Age5059,667_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.403487193,49.88998704,female,50,59,1.602455005,83.13627861
.\Female\Age5059,724_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.365539282,53.09148353,female,50,59,1.451744348,88.47122697
.\Female\Age5059,740_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.410657462,34.41608732,female,50,59,1.630931825,57.35069487
.\Female\Age5059,856_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.441817456,49.62319566,female,50,59,1.754684176,82.69169958
.\Female\Age6069,120_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.398797094,35.75004419,female,60,69,1.583828212,59.57359002
.\Female\Age6069,175_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.384249655,42.15303718,female,60,69,1.526052854,70.24348674
.\Female\Age6069,183_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.405129037,30.68100807,female,60,69,1.60897561,51.12658845
.\Female\Age6069,202_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.392710687,54.15864903,female,60,69,1.559655961,90.24954309
.\Female\Age6069,250_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.431448234,29.88063395,female,60,69,1.713502668,49.79285136
.\Female\Age6069,257_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.406719983,39.48512343,female,60,69,1.615294073,65.79769644
.\Female\Age6069,273_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.39276971,35.75004419,female,60,69,1.55989037,59.57359002
.\Female\Age6069,431_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.380331875,40.01870618,female,60,69,1.510493336,66.6868545
.\Female\Age6069,440_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.396674185,59.22768515,female,60,69,1.575397048,98.69654466
.\Female\Age6069,592_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.387060746,41.35266305,female,60,69,1.53721714,68.90974965
.\Female\Age6069,593_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.425008388,33.88250457,female,60,69,1.687926728,56.46153681
.\Female\Age6069,652_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.402878601,37.61758381,female,60,69,1.600037971,62.68564323
.\Female\Age6069,689_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.415353952,39.75191481,female,60,69,1.649584001,66.24227547
.\Female\Age6069,695_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.412893973,30.94779945,female,60,69,1.639814161,51.57116748
.\Female\Age6069,712_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.404607865,73.367628,female,60,69,1.60690577,122.2592332
.\Female\Age6069,723_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.431611146,46.68849054,female,60,69,1.714149674,77.80133025
.\Female\Age6069,728_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.400664411,51.75752666,female,60,69,1.591244288,86.24833182
.\Female\Age6069,737_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.379294024,38.95154068,female,60,69,1.506371495,64.90853838
.\Female\Age6069,762_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.366486872,37.88437518,female,60,69,1.455507712,63.13022226
.\Female\Age6069,767_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.398804877,57.36014553,female,60,69,1.583859122,95.58449145
.\Female\Age6069,821_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.417125164,38.95154068,female,60,69,1.656618396,64.90853838
.\Female\Age6069,882_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.412403196,58.42731102,female,60,69,1.637865035,97.36280757
.\Female\Age6069,903_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.394628086,41.8862458,female,60,69,1.567270939,69.79890771
.\Female\Age6069,906_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.433895371,42.68661993,female,60,69,1.723221507,71.1326448
.\Female\Age6069,971_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.387611045,33.61571319,female,60,69,1.539402661,56.01695778
.\Female\Age7079,154_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.401944498,36.55041831,female,70,79,1.596328171,60.90732711
.\Female\Age7079,158_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.379272959,35.48325281,female,70,79,1.506287837,59.12901099
.\Female\Age7079,201_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.386731963,62.69597302,female,70,79,1.535911374,104.476072
.\Female\Age7079,278_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.415510294,47.48886467,female,70,79,1.650204918,79.13506734
.\Female\Age7079,341_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.367546869,34.94967007,female,70,79,1.459717507,58.23985293
.\Female\Age7079,347_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.382680003,37.88437518,female,70,79,1.519818961,63.13022226
.\Female\Age7079,393_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.40733212,45.0877423,female,70,79,1.617725186,75.13385607
.\Female\Age7079,426_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.398712974,36.81720969,female,70,79,1.583494125,61.35190614
.\Female\Age7079,450_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.401788228,51.49073529,female,70,79,1.595707542,85.80375279
.\Female\Age7079,458_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.411372026,32.28175632,female,70,79,1.633769727,53.79406263
.\Female\Age7079,463_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.382487022,34.14929594,female,70,79,1.519052534,56.90611584
.\Female\Age7079,475_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.381440996,55.4926059,female,70,79,1.514898226,92.47243824
.\Female\Age7079,484_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.378251175,36.01683556,female,70,79,1.502229808,60.01816905
.\Female\Age7079,485_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.363407826,44.0205768,female,70,79,1.44327924,73.35553995
.\Female\Age7079,543_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.408384524,50.42356979,female,70,79,1.621904821,84.02543667
.\Female\Age7079,569_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.448247047,54.42544041,female,70,79,1.780219388,90.69412212
.\Female\Age7079,615_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.380895998,34.94967007,female,70,79,1.512733759,58.23985293
.\Female\Age7079,715_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.394378531,34.41608732,female,70,79,1.566279828,57.35069487
.\Female\Age7079,731_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.387902229,46.95528192,female,70,79,1.540559103,78.24590928
.\Female\Age7079,743_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.406584161,39.48512343,female,70,79,1.614754655,65.79769644
.\Female\Age7079,800_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.389662243,45.0877423,female,70,79,1.547549023,75.13385607
.\Female\Age7079,810_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.390153823,35.48325281,female,70,79,1.549501341,59.12901099
.\Female\Age7079,823_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.381142227,37.35079244,female,70,79,1.51371166,62.2410642
.\Female\Age7079,868_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.373929104,52.29110941,female,70,79,1.485064643,87.13748988
.\Female\Age7079,952_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.358068095,42.9534113,female,70,79,1.422072423,71.57722383
.\Female\Age80plus,216_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.350510115,45.88811642,female,80,100,1.392055801,76.46759316
.\Female\Age80plus,240_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.374472947,61.89559889,female,80,100,1.487224524,103.142335
.\Female\Age80plus,247_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.403017509,34.41608732,female,80,100,1.600589648,57.35069487
.\Female\Age80plus,282_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.376316988,40.28549756,female,80,100,1.494548157,67.13143353
.\Female\Age80plus,351_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.390871129,39.75191481,female,80,100,1.552350131,66.24227547
.\Female\Age80plus,427_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.414946652,39.21833206,female,80,100,1.647966405,65.35311741
.\Female\Age80plus,437_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.402297772,36.01683556,female,80,100,1.597731203,60.01816905
.\Female\Age80plus,457_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.356535091,34.68287869,female,80,100,1.415984077,57.7952739
.\Female\Age80plus,509_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.376386494,31.4813822,female,80,100,1.4948242,52.46032554
.\Female\Age80plus,537_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.368117875,51.49073529,female,80,100,1.461985266,85.80375279
.\Female\Age80plus,581_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.419672513,53.35827491,female,80,100,1.666735229,88.915806
.\Female\Age80plus,586_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.414859731,55.75939728,female,80,100,1.647621197,92.91701727
.\Female\Age80plus,660_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.407006656,41.08587168,female,80,100,1.6164326,68.46517062
.\Female\Age80plus,673_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.390447779,39.75191481,female,80,100,1.550668791,66.24227547
.\Female\Age80plus,749_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.398895123,38.41795793,female,80,100,1.584217533,64.01938032
.\Female\Age80plus,777_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.353169481,40.28549756,female,80,100,1.402617509,67.13143353
.\Female\Age80plus,791_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.372524979,41.8862458,female,80,100,1.479488141,69.79890771
